alpha_2_code,alpha_3_code,numeric_code,language_alpha_2_code,language_alpha_3_code,is_administrative,sorting_order
"ZA","ZAF","710","","nso","YES",""
"ZA","ZAF","710","st","sot","YES",""
"ZA","ZAF","710","ss","ssw","YES",""
"ZA","ZAF","710","tn","tsn","YES",""
"ZA","ZAF","710","ts","tso","YES",""
"ZA","ZAF","710","ve","ven","YES",""
"ZA","ZAF","710","xh","xho","YES",""
"ZA","ZAF","710","zu","zul","YES",""
"ZM","ZMB","894","en","eng","YES",""
"ZM","ZMB","894","fr","fra","NO",""
"ZR","ZAR","180","en","eng","NO",""
"ZR","ZAR","180","fr","fra","NO",""
"ZW","ZWE","716","en","eng","YES",""
"ZW","ZWE","716","fr","fra","NO",""
